PDS_acc	target_acc	biosample_acc	gencoll_acc
PDS000112090.35	PDT000045369.1	SAMN03105506	GCA_000794925.1
PDS000112090.35	PDT000045416.1	SAMN03105501	GCA_000795865.1
PDS000112090.35	PDT000045424.1	SAMN03105485	GCA_000796025.1
PDS000112090.35	PDT000045441.1	SAMN03105453	GCA_000796365.1
PDS000112090.35	PDT000045465.1	SAMN03105491	GCA_000796845.1
PDS000112090.35	PDT000045477.1	SAMN03105490	GCA_000797085.1
PDS000112090.35	PDT000045492.1	SAMN03105415	GCA_000797395.1
PDS000112090.35	PDT000063440.1	SAMN03389320	GCA_000981825.1
PDS000112090.35	PDT000076689.1	SAMEA3374587	GCA_001180385.1
PDS000112090.35	PDT000076690.1	SAMEA3374588	GCA_001180405.1
PDS000112090.35	PDT000076691.1	SAMEA3374589	GCA_001180425.1
PDS000112090.35	PDT000076692.1	SAMEA3374590	GCA_001180445.1
PDS000112090.35	PDT000076693.1	SAMEA3374591	GCA_001180465.1
PDS000112090.35	PDT000076694.1	SAMEA3374592	GCA_001180485.1
PDS000112090.35	PDT000076695.1	SAMEA3374593	GCA_001180505.1
PDS000112090.35	PDT000076697.1	SAMEA3374595	GCA_001180545.1
PDS000112090.35	PDT000076698.1	SAMEA3374596	GCA_001180565.1
PDS000112090.35	PDT000076700.1	SAMEA3374598	GCA_001180605.1
PDS000112090.35	PDT000076701.1	SAMEA3374599	GCA_001180625.1
PDS000112090.35	PDT000076702.1	SAMEA3374600	GCA_001180645.1
PDS000112090.35	PDT000076703.1	SAMEA3374601	GCA_001180665.1
PDS000112090.35	PDT000076704.1	SAMEA3374602	GCA_001180685.1
PDS000112090.35	PDT000076705.1	SAMEA3374603	GCA_001180705.1
PDS000112090.35	PDT000076706.1	SAMEA3374604	GCA_001180725.1
PDS000112090.35	PDT000076707.1	SAMEA3374605	GCA_001180745.1
PDS000112090.35	PDT000076708.1	SAMEA3374606	GCA_001180765.1
PDS000112090.35	PDT000076709.1	SAMEA3374607	GCA_001180785.1
PDS000112090.35	PDT000076710.1	SAMEA3374608	GCA_001180805.1
PDS000112090.35	PDT000076711.1	SAMEA3374609	GCA_001180825.1
PDS000112090.35	PDT000076712.1	SAMEA3374610	GCA_001180845.1
PDS000112090.35	PDT000076714.1	SAMEA3374612	GCA_001180885.1
PDS000112090.35	PDT000076715.1	SAMEA3374613	GCA_001180905.1
PDS000112090.35	PDT000076716.1	SAMEA3374614	GCA_001180925.1
PDS000112090.35	PDT000076717.1	SAMEA3374615	GCA_001180945.1
PDS000112090.35	PDT000076718.1	SAMEA3374616	GCA_001180965.1
PDS000112090.35	PDT000076719.1	SAMEA3374617	GCA_001180985.1
PDS000112090.35	PDT000076720.1	SAMEA3374618	GCA_001181005.1
PDS000112090.35	PDT000076721.1	SAMEA3374619	GCA_001181025.1
PDS000112090.35	PDT000076722.1	SAMEA3374620	GCA_001181045.1
PDS000112090.35	PDT000076723.1	SAMEA3374621	GCA_001181065.1
PDS000112090.35	PDT000076724.1	SAMEA3374622	GCA_001181085.1
PDS000112090.35	PDT000076725.1	SAMEA3374623	GCA_001181105.1
PDS000112090.35	PDT000076727.1	SAMEA3374625	GCA_001181145.1
PDS000112090.35	PDT000076728.1	SAMEA3374626	GCA_001181165.1
PDS000112090.35	PDT000076730.1	SAMEA3374628	GCA_001181205.1
PDS000112090.35	PDT000076732.1	SAMEA3374630	GCA_001181245.1
PDS000112090.35	PDT000076733.1	SAMEA3374631	GCA_001181265.1
PDS000112090.35	PDT000076734.1	SAMEA3374633	GCA_001181285.1
PDS000112090.35	PDT000076735.1	SAMEA3374634	GCA_001181305.1
PDS000112090.35	PDT000076736.1	SAMEA3374635	GCA_001181325.1
PDS000112090.35	PDT000076737.1	SAMEA3374636	GCA_001181345.1
PDS000112090.35	PDT000076739.1	SAMEA3374638	GCA_001181385.1
PDS000112090.35	PDT000076740.1	SAMEA3374639	GCA_001181405.1
PDS000112090.35	PDT000076742.1	SAMEA3374641	GCA_001181445.1
PDS000112090.35	PDT000076743.1	SAMEA3374642	GCA_001181465.1
PDS000112090.35	PDT000076744.1	SAMEA3374643	GCA_001181485.1
PDS000112090.35	PDT000076745.1	SAMEA3374644	GCA_001181505.1
PDS000112090.35	PDT000076746.1	SAMEA3374645	GCA_001181525.1
PDS000112090.35	PDT000076747.1	SAMEA3374646	GCA_001181545.1
PDS000112090.35	PDT000076748.1	SAMEA3374647	GCA_001181565.1
PDS000112090.35	PDT000076749.1	SAMEA3374648	GCA_001181585.1
PDS000112090.35	PDT000076751.1	SAMEA3374650	GCA_001181625.1
PDS000112090.35	PDT000076752.1	SAMEA3374651	GCA_001181645.1
PDS000112090.35	PDT000076753.1	SAMEA3374652	GCA_001181665.1
PDS000112090.35	PDT000076754.1	SAMEA3374653	GCA_001181685.1
PDS000112090.35	PDT000076755.1	SAMEA3374654	GCA_001181705.1
PDS000112090.35	PDT000076756.1	SAMEA3374655	GCA_001181725.1
PDS000112090.35	PDT000076757.1	SAMEA3374656	GCA_001181745.1
PDS000112090.35	PDT000076758.1	SAMEA3374657	GCA_001181765.1
PDS000112090.35	PDT000076759.1	SAMEA3374658	GCA_001181785.1
PDS000112090.35	PDT000076760.1	SAMEA3374659	GCA_001181805.1
PDS000112090.35	PDT000076761.1	SAMEA3374660	GCA_001181825.1
PDS000112090.35	PDT000076762.1	SAMEA3374661	GCA_001181845.1
PDS000112090.35	PDT000076764.1	SAMEA3374663	GCA_001181885.1
PDS000112090.35	PDT000076765.1	SAMEA3374664	GCA_001181905.1
PDS000112090.35	PDT000076766.1	SAMEA3374665	GCA_001181925.1
PDS000112090.35	PDT000076768.1	SAMEA3374667	GCA_001181965.1
PDS000112090.35	PDT000076769.1	SAMEA3374669	GCA_001182005.1
PDS000112090.35	PDT000076811.1	SAMEA3374632	GCA_001182945.1
PDS000112090.35	PDT000201446.1	SAMN05583819	GCA_002085605.1
PDS000112090.35	PDT000202145.2	SAMEA3716617	NULL
PDS000112090.35	PDT000209109.1	SAMN06761155	GCA_002135755.1
PDS000112090.35	PDT000209136.1	SAMN06761123	GCA_002136275.1
PDS000112090.35	PDT000348221.1	SAMEA4017708	GCA_900455455.1
PDS000112090.35	PDT000411614.1	SAMN07424147	GCA_003835045.1
PDS000112090.35	PDT000411748.1	SAMN07424026	GCA_003837745.1
PDS000112090.35	PDT000492494.1	SAMN11380142	GCA_004795645.1
PDS000112090.35	PDT000492495.1	SAMN11380141	GCA_004795665.1
PDS000112090.35	PDT000492496.1	SAMN11380140	GCA_004795655.1
PDS000112090.35	PDT000547783.1	SAMN12274566	GCA_007280435.1
PDS000112090.35	PDT000619035.1	SAMN12768892	GCA_021708695.1
PDS000112090.35	PDT000628451.1	SAMN13182580	GCA_009662315.1
PDS000112090.35	PDT000755590.1	SAMEA5209767	NULL
PDS000112090.35	PDT000755709.1	SAMEA5209930	NULL
PDS000112090.35	PDT000766416.1	SAMN15226443	NULL
PDS000112090.35	PDT000767972.1	SAMEA5067533	NULL
PDS000112090.35	PDT000767973.1	SAMEA5067534	NULL
PDS000112090.35	PDT000768023.1	SAMN07661412	GCA_021680735.1
PDS000112090.35	PDT000768031.1	SAMN07661409	GCA_021680535.1
PDS000112090.35	PDT000768048.1	SAMN07661408	GCA_021680235.1
PDS000112090.35	PDT000768062.1	SAMN07661410	GCA_021679995.1
PDS000112090.35	PDT000768074.1	SAMN07661414	GCA_021679755.1
PDS000112090.35	PDT000768075.1	SAMN07661411	GCA_021679735.1
PDS000112090.35	PDT000768092.1	SAMN07661413	GCA_021679415.1
PDS000112090.35	PDT000768313.1	SAMEA5384756	GCA_021678335.1
PDS000112090.35	PDT000768465.2	SAMN11110392	NULL
PDS000112090.35	PDT000768498.2	SAMN11110361	NULL
PDS000112090.35	PDT000771141.1	SAMEA104128222	GCA_021673055.1
PDS000112090.35	PDT000799596.1	SAMN15677839	NULL
PDS000112090.35	PDT000898318.1	SAMN16916282	GCA_021666575.1
PDS000112090.35	PDT000898319.1	SAMN16916281	GCA_021666555.1
PDS000112090.35	PDT000899029.1	SAMN16935939	GCA_021666455.1
PDS000112090.35	PDT000899061.1	SAMN16939873	GCA_021666435.1
PDS000112090.35	PDT000899062.1	SAMN16939872	GCA_021666375.1
PDS000112090.35	PDT000899071.1	SAMN16939867	GCA_021666355.1
PDS000112090.35	PDT000899079.1	SAMN16939969	GCA_021666315.1
PDS000112090.35	PDT000899085.1	SAMN16939964	GCA_021666255.1
PDS000112090.35	PDT000899089.1	SAMN16939960	GCA_021666195.1
PDS000112090.35	PDT000899097.1	SAMN16939978	GCA_021666155.1
PDS000112090.35	PDT000899098.1	SAMN16939977	GCA_021666175.1
PDS000112090.35	PDT000899115.1	SAMN16939986	GCA_021666135.1
PDS000112090.35	PDT000899123.1	SAMN16940008	GCA_021666055.1
PDS000112090.35	PDT000899155.1	SAMN16940073	GCA_021666035.1
PDS000112090.35	PDT000899446.1	SAMN16940559	GCA_021665715.1
PDS000112090.35	PDT000908705.1	SAMN16954467	GCA_015865055.1
PDS000112090.35	PDT000922980.1	SAMN11954015	NULL
PDS000112090.35	PDT000972456.1	SAMN17864855	GCA_016921535.1
PDS000112090.35	PDT000972457.1	SAMN17864854	GCA_016921555.1
PDS000112090.35	PDT000972458.1	SAMN17864853	GCA_016921575.1
PDS000112090.35	PDT000972464.1	SAMN17864847	GCA_016921695.1
PDS000112090.35	PDT000972466.1	SAMN17864845	GCA_016921735.1
PDS000112090.35	PDT000972467.1	SAMN17864846	GCA_016921745.1
PDS000112090.35	PDT000972469.1	SAMN17864841	GCA_016921795.1
PDS000112090.35	PDT000972470.1	SAMN17864842	GCA_016921805.1
PDS000112090.35	PDT000972473.1	SAMN17864837	GCA_016921875.1
PDS000112090.35	PDT000972483.1	SAMN17864830	GCA_016922065.1
PDS000112090.35	PDT000972488.1	SAMN17864824	GCA_016922165.1
PDS000112090.35	PDT000972501.1	SAMN17864808	GCA_016922435.1
PDS000112090.35	PDT000972509.1	SAMN17864801	GCA_016922585.1
PDS000112090.35	PDT000972527.1	SAMN17864785	GCA_016922965.1
PDS000112090.35	PDT000991254.1	SAMN18316317	GCA_017582945.1
PDS000112090.35	PDT001000605.1	SAMN16132407	GCA_017693635.1
PDS000112090.35	PDT001000607.1	SAMN16132405	GCA_017693665.1
PDS000112090.35	PDT001000609.1	SAMN16132398	GCA_017693715.1
PDS000112090.35	PDT001000614.1	SAMN16132395	GCA_017693875.1
PDS000112090.35	PDT001047853.1	SAMN17801981	GCA_018457125.1
PDS000112090.35	PDT001049474.1	SAMN17801978	GCA_018551635.1
PDS000112090.35	PDT001071578.1	SAMN19729484	GCA_021661375.1
PDS000112090.35	PDT001071581.1	SAMN19729481	GCA_021661075.1
PDS000112090.35	PDT001087579.1	SAMN20032849	GCA_021658035.1
PDS000112090.35	PDT001087746.1	SAMN20032757	GCA_021652135.1
PDS000112090.35	PDT001087792.1	SAMN20032765	GCA_021646365.1
PDS000112090.35	PDT001087793.1	SAMN20032756	GCA_021646325.1
PDS000112090.35	PDT001097243.1	SAMN20349475	GCA_021645835.1
PDS000112090.35	PDT001132253.1	SAMN21493864	GCA_021645245.1
PDS000112090.35	PDT001148894.1	SAMN22216722	GCA_021644185.1
PDS000112090.35	PDT001157467.3	SAMN22404390	GCA_021645105.1
PDS000112090.35	PDT001157487.3	SAMN22404370	GCA_021645045.1
PDS000112090.35	PDT001157495.4	SAMN22404362	GCA_021643745.1
PDS000112090.35	PDT001157525.5	SAMN22404441	GCA_021643585.1
PDS000112090.35	PDT001163972.1	SAMN22568380	GCA_021643125.1
PDS000112090.35	PDT001164016.1	SAMN22568498	GCA_021642825.1
PDS000112090.35	PDT001171795.2	SAMN22889898	GCA_021642385.1
PDS000112090.35	PDT001172050.1	SAMN22889900	GCA_021642445.1
PDS000112090.35	PDT001173095.1	SAMN22896421	GCA_021642165.1
PDS000112090.35	PDT001175392.1	SAMN23099156	GCA_021614655.1
PDS000112090.35	PDT001175556.1	SAMN23168016	GCA_021614555.1
PDS000112090.35	PDT001175558.1	SAMN23168014	GCA_021614455.1
PDS000112090.35	PDT001187624.1	SAMN18347810	GCA_021013075.1
PDS000112090.35	PDT001187627.1	SAMN18347808	GCA_021013135.1
PDS000112090.35	PDT001187628.1	SAMN18347807	GCA_021013155.1
PDS000112090.35	PDT001196960.1	SAMEA9459753	GCA_021610425.1
PDS000112090.35	PDT001197975.1	SAMN20752068	GCA_021061045.1
PDS000112090.35	PDT001197976.1	SAMN20752067	GCA_021061065.1
PDS000112090.35	PDT001197977.1	SAMN20752066	GCA_021061075.1
PDS000112090.35	PDT001197984.1	SAMN20752058	GCA_021061245.1
PDS000112090.35	PDT001197993.1	SAMN20752050	GCA_021061555.1
PDS000112090.35	PDT001197995.1	SAMN20752047	GCA_021061685.1
PDS000112090.35	PDT001197996.1	SAMN20752048	GCA_021061705.1
PDS000112090.35	PDT001210571.1	SAMN24300417	GCA_021595005.1
PDS000112090.35	PDT001210748.1	SAMEA7087566	NULL
PDS000112090.35	PDT001210750.1	SAMEA7087568	NULL
PDS000112090.35	PDT001210751.1	SAMEA7087569	NULL
PDS000112090.35	PDT001210752.1	SAMEA7087570	NULL
PDS000112090.35	PDT001210753.1	SAMEA7087571	NULL
PDS000112090.35	PDT001210755.1	SAMEA7087573	NULL
PDS000112090.35	PDT001210758.1	SAMEA7087576	NULL
PDS000112090.35	PDT001210759.1	SAMEA7087577	NULL
PDS000112090.35	PDT001210763.1	SAMEA7087581	NULL
PDS000112090.35	PDT001210768.1	SAMEA7087586	NULL
PDS000112090.35	PDT001210771.1	SAMEA7087589	NULL
PDS000112090.35	PDT001210772.1	SAMEA7087590	NULL
PDS000112090.35	PDT001210773.1	SAMEA7087591	NULL
PDS000112090.35	PDT001210775.1	SAMEA7087593	NULL
PDS000112090.35	PDT001210777.1	SAMEA7087595	NULL
PDS000112090.35	PDT001210779.1	SAMEA7087597	NULL
PDS000112090.35	PDT001210783.1	SAMEA7087601	NULL
PDS000112090.35	PDT001210784.1	SAMEA7087602	NULL
PDS000112090.35	PDT001210786.1	SAMEA7087604	NULL
PDS000112090.35	PDT001210790.1	SAMEA7087608	NULL
PDS000112090.35	PDT001210794.1	SAMEA7087612	NULL
PDS000112090.35	PDT001210801.1	SAMEA7087619	NULL
PDS000112090.35	PDT001210805.1	SAMEA7087623	NULL
PDS000112090.35	PDT001210806.1	SAMEA7087624	NULL
PDS000112090.35	PDT001210812.1	SAMEA7087630	NULL
PDS000112090.35	PDT001210815.1	SAMEA7087633	NULL
PDS000112090.35	PDT001210821.1	SAMEA7087639	NULL
PDS000112090.35	PDT001210822.1	SAMEA7087640	NULL
PDS000112090.35	PDT001210823.1	SAMEA7087641	NULL
PDS000112090.35	PDT001210824.1	SAMEA7087642	NULL
PDS000112090.35	PDT001210825.1	SAMEA7087643	NULL
PDS000112090.35	PDT001210831.1	SAMEA7087649	NULL
PDS000112090.35	PDT001210832.1	SAMEA7087650	NULL
PDS000112090.35	PDT001210835.1	SAMEA7087653	NULL
PDS000112090.35	PDT001210837.1	SAMEA7087655	NULL
PDS000112090.35	PDT001210838.1	SAMEA7087656	NULL
PDS000112090.35	PDT001210839.1	SAMEA7087657	NULL
PDS000112090.35	PDT001210843.1	SAMEA7087661	NULL
PDS000112090.35	PDT001210844.1	SAMEA7087662	NULL
PDS000112090.35	PDT001210847.1	SAMEA7087665	NULL
PDS000112090.35	PDT001210848.1	SAMEA7087666	NULL
PDS000112090.35	PDT001210849.1	SAMEA7087667	NULL
PDS000112090.35	PDT001210852.1	SAMEA7087670	NULL
PDS000112090.35	PDT001210853.1	SAMEA7087671	NULL
PDS000112090.35	PDT001210855.1	SAMEA7087673	NULL
PDS000112090.35	PDT001210857.1	SAMEA7087675	NULL
PDS000112090.35	PDT001210858.1	SAMEA7087676	NULL
PDS000112090.35	PDT001210859.1	SAMEA7087677	NULL
PDS000112090.35	PDT001210860.1	SAMEA7087678	NULL
PDS000112090.35	PDT001210861.1	SAMEA7087679	NULL
PDS000112090.35	PDT001210862.1	SAMEA7087680	NULL
PDS000112090.35	PDT001210864.1	SAMEA7087682	NULL
PDS000112090.35	PDT001210865.1	SAMEA7087683	NULL
PDS000112090.35	PDT001210866.1	SAMEA7087684	NULL
PDS000112090.35	PDT001210867.1	SAMEA7087685	NULL
PDS000112090.35	PDT001210868.1	SAMEA7087686	NULL
PDS000112090.35	PDT001210869.1	SAMEA7087687	NULL
PDS000112090.35	PDT001210871.1	SAMEA7087689	NULL
PDS000112090.35	PDT001210872.1	SAMEA7087690	NULL
PDS000112090.35	PDT001210873.1	SAMEA7087691	NULL
PDS000112090.35	PDT001210874.1	SAMEA7087692	NULL
PDS000112090.35	PDT001210875.1	SAMEA7087693	NULL
PDS000112090.35	PDT001210876.1	SAMEA7087694	NULL
PDS000112090.35	PDT001210879.1	SAMEA7087697	NULL
PDS000112090.35	PDT001210881.1	SAMEA7087699	NULL
PDS000112090.35	PDT001210882.1	SAMEA7087700	NULL
PDS000112090.35	PDT001210884.1	SAMEA7087702	NULL
PDS000112090.35	PDT001210885.1	SAMEA7087703	NULL
PDS000112090.35	PDT001210892.1	SAMEA7087710	NULL
PDS000112090.35	PDT001210895.1	SAMEA7087713	NULL
PDS000112090.35	PDT001210896.1	SAMEA7087714	NULL
PDS000112090.35	PDT001210897.1	SAMEA7087715	NULL
PDS000112090.35	PDT001210901.1	SAMEA7087719	NULL
PDS000112090.35	PDT001210903.1	SAMEA7087721	NULL
PDS000112090.35	PDT001210910.1	SAMEA7087728	NULL
PDS000112090.35	PDT001211637.1	SAMN16632732	GCA_021593905.1
PDS000112090.35	PDT001211643.1	SAMN16632726	GCA_021593805.1
PDS000112090.35	PDT001211645.1	SAMN16632644	NULL
PDS000112090.35	PDT001211661.1	SAMN16632710	GCA_021593485.1
PDS000112090.35	PDT001211667.1	SAMN16632642	NULL
PDS000112090.35	PDT001211670.1	SAMN16632702	GCA_021593325.1
PDS000112090.35	PDT001211673.1	SAMN16632699	GCA_021593285.1
PDS000112090.35	PDT001211674.1	SAMN16632698	GCA_021593265.1
PDS000112090.35	PDT001211687.1	SAMN16632686	GCA_021593025.1
PDS000112090.35	PDT001211689.1	SAMN16632640	NULL
PDS000112090.35	PDT001211695.1	SAMN16632679	GCA_021592885.1
PDS000112090.35	PDT001211696.1	SAMN16632678	GCA_021592865.1
PDS000112090.35	PDT001211703.1	SAMN16632672	NULL
PDS000112090.35	PDT001211704.1	SAMN16632671	NULL
PDS000112090.35	PDT001211706.1	SAMN16632669	NULL
PDS000112090.35	PDT001211709.1	SAMN16632666	NULL
PDS000112090.35	PDT001211714.1	SAMN16632662	NULL
PDS000112090.35	PDT001211724.1	SAMN16632653	NULL
PDS000112090.35	PDT001211725.1	SAMN16632652	NULL
PDS000112090.35	PDT001211728.1	SAMN16632649	NULL
PDS000112090.35	PDT001211729.1	SAMN16632648	NULL
PDS000112090.35	PDT001211731.1	SAMN16632646	NULL
PDS000112090.35	PDT001211737.1	SAMN16632636	NULL
PDS000112090.35	PDT001223133.1	SAMN22108550	GCA_021460635.1
PDS000112090.35	PDT001226277.1	SAMN24538388	NULL
PDS000112090.35	PDT001226279.1	SAMN24538387	NULL
PDS000112090.35	PDT001238269.1	SAMN25248187	GCA_021891875.1
PDS000112090.35	PDT001238272.1	SAMN25248186	GCA_021891915.1
PDS000112090.35	PDT001253923.1	SAMN26226175	GCA_022389945.1
PDS000112090.35	PDT001257909.1	SAMN26419352	GCA_022474415.1
PDS000112090.35	PDT001276252.1	SAMN27020384	GCA_022948835.1
PDS000112090.35	PDT001280607.1	SAMN27407158	GCA_022881635.1
PDS000112090.35	PDT001287148.1	SAMN27571665	GCA_022980635.1
PDS000112090.35	PDT001287159.1	SAMN27571664	GCA_022989885.1
PDS000112090.35	PDT001291375.1	SAMN24538505	NULL
PDS000112090.35	PDT001293337.1	SAMN27570671	GCA_023093935.1
PDS000112090.35	PDT001315883.1	SAMN28552162	GCA_023554655.1
PDS000112090.35	PDT001339928.1	SAMEA8270510	NULL
PDS000112090.35	PDT001339930.1	SAMEA8270512	NULL
PDS000112090.35	PDT001339932.1	SAMEA8270514	NULL
PDS000112090.35	PDT001339933.1	SAMEA8270515	NULL
PDS000112090.35	PDT001339935.1	SAMEA8270517	NULL
PDS000112090.35	PDT001339937.1	SAMEA8270519	NULL
PDS000112090.35	PDT001339939.1	SAMEA8270521	NULL
PDS000112090.35	PDT001339952.1	SAMEA8270534	NULL
PDS000112090.35	PDT001339957.1	SAMEA8270542	NULL
PDS000112090.35	PDT001339965.1	SAMEA8270550	NULL
PDS000112090.35	PDT001339967.1	SAMEA8270552	NULL
PDS000112090.35	PDT001339970.1	SAMEA8270912	NULL
PDS000112090.35	PDT001339974.1	SAMEA8271781	NULL
PDS000112090.35	PDT001339976.1	SAMEA8271783	NULL
PDS000112090.35	PDT001339980.1	SAMEA8271787	NULL
PDS000112090.35	PDT001343757.1	SAMN27566161	GCA_023961695.1
PDS000112090.35	PDT001343759.1	SAMN27566159	GCA_023961615.1
PDS000112090.35	PDT001343767.1	SAMN27566152	GCA_024739085.1
PDS000112090.35	PDT001343772.1	SAMN27566147	GCA_023960935.1
PDS000112090.35	PDT001343774.1	SAMN27566145	GCA_024739045.1
PDS000112090.35	PDT001343778.1	SAMN27566142	GCA_023960875.1
PDS000112090.35	PDT001343779.1	SAMN27566141	GCA_023960795.1
PDS000112090.35	PDT001343864.1	SAMN27565505	GCA_023959215.1
PDS000112090.35	PDT001343906.1	SAMN27565818	GCA_023958195.1
PDS000112090.35	PDT001343991.1	SAMN27566397	GCA_023952175.1
PDS000112090.35	PDT001343992.1	SAMN27566396	GCA_023952215.1
PDS000112090.35	PDT001344011.1	SAMN27566163	GCA_023951835.1
PDS000112090.35	PDT001344109.1	SAMN27566204	GCA_023949735.1
PDS000112090.35	PDT001344111.1	SAMN27566202	GCA_023949775.1
PDS000112090.35	PDT001344116.1	SAMN27566198	GCA_023949635.1
PDS000112090.35	PDT001344120.1	SAMN27566194	GCA_023949575.1
PDS000112090.35	PDT001344122.1	SAMN27566192	GCA_023949515.1
PDS000112090.35	PDT001344125.1	SAMN27566190	GCA_023949495.1
PDS000112090.35	PDT001344130.1	SAMN27566185	GCA_023949315.1
PDS000112090.35	PDT001344137.1	SAMN27566179	GCA_023949155.1
PDS000112090.35	PDT001344140.1	SAMN27566176	GCA_023949095.1
PDS000112090.35	PDT001344286.1	SAMN27566207	GCA_023945835.1
PDS000112090.35	PDT001344287.1	SAMN27566206	GCA_023945855.1
PDS000112090.35	PDT001344489.1	SAMN27566175	GCA_023940125.1
PDS000112090.35	PDT001346383.1	SAMN11110718	GCA_023935465.1
