ipg	ipg_accession	ipg_name	protein
119263730	WP_069953510.1	subclass B1 metallo-beta-lactamase AFM-1	WP_069953510.1
296539372	WP_204376224.1	subclass B1 metallo-beta-lactamase AFM-2	WP_204376224.1
421952867	WP_211862582.1	subclass B1 metallo-beta-lactamase AFM-3	WP_211862582.1
513914376	WP_240067717.1	subclass B1 metallo-beta-lactamase AFM-4	WP_240067717.1
15611213	WP_063857820.1	subclass B3 metallo-beta-lactamase AIM-1	WP_063857820.1
185133310	WP_148044405.1	subclass B1 metallo-beta-lactamase CAM-1	HCH0503223.1
1302084	WP_063857835.1	PSE family carbenicillin-hydrolyzing class A beta-lactamase CARB-1	WP_063857835.1
146408	WP_001931474.1	PSE family carbenicillin-hydrolyzing class A beta-lactamase CARB-2	EKJ6910296.1
1264020	WP_063859105.1	PSE family carbenicillin-hydrolyzing class A beta-lactamase CARB-3	WP_063859105.1
305258471	WP_188331863.1	PSE family carbenicillin-hydrolyzing class A beta-lactamase CARB-53	WP_188331863.1
693125	WP_000976514.1	class C beta-lactamase CMY-2	WP_000976514.1
82553768	WP_063859950.1	extended-spectrum class A beta-lactamase CTX-M-131	WP_063859950.1
1340024	WP_000239590.1	extended-spectrum class A beta-lactamase CTX-M-15	HCF2421818.1
916241	WP_025368620.1	extended-spectrum class A beta-lactamase CTX-M-2	WP_025368620.1
54234120	WP_102607455.1	extended-spectrum class A beta-lactamase CTX-M-206	WP_102607455.1
266947550	WP_148044411.1	extended-spectrum class A beta-lactamase CTX-M-229	WP_148044411.1
122926	WP_011091028.1	extended-spectrum class A beta-lactamase CTX-M-3	EKF6775579.1
1651785	WP_032490752.1	extended-spectrum class A beta-lactamase CTX-M-30	WP_032490752.1
4121081	WP_044702041.1	extended-spectrum class A beta-lactamase CTX-M-39	EIU3999572.1
6890729	WP_013188475.1	extended-spectrum class A beta-lactamase CTX-M-65	HCI2779909.1
1091551	WP_004236386.1	class C beta-lactamase DHA-1	HBP6843487.1
19607633	WP_063860203.1	subclass B1 metallo-beta-lactamase DIM-1	EIU5310245.1
31416932	WP_052157330.1	subclass B1 metallo-beta-lactamase FIM-1	WP_052157330.1
331662	WP_013250881.1	extended-spectrum class A beta-lactamase GES-1	EIU3898498.1
19016685	WP_063860501.1	extended-spectrum class A beta-lactamase GES-13	WP_063860501.1
19120473	WP_063860503.1	extended-spectrum class A beta-lactamase GES-15	WP_063860503.1
20491263	WP_063860504.1	carbapenem-hydrolyzing class A beta-lactamase GES-16	WP_063860504.1
22624201	WP_063860505.1	extended-spectrum class A beta-lactamase GES-17	EJZ8930007.1
26731239	WP_015059045.1	extended-spectrum class A beta-lactamase GES-19	EJH9540392.1
564406	WP_045912044.1	extended-spectrum class A beta-lactamase GES-2	WP_045912044.1
26731240	WP_015059046.1	carbapenem-hydrolyzing class A beta-lactamase GES-20	EKQ9487056.1
48945915	WP_059385191.1	carbapenem-hydrolyzing class A beta-lactamase GES-24	WP_059385191.1
76729276	WP_063860511.1	extended-spectrum class A beta-lactamase GES-26	EIU4151992.1
97759933	WP_063860514.1	class A beta-lactamase GES-29	WP_063860514.1
116820615	WP_069280709.1	extended-spectrum class A beta-lactamase GES-32	WP_069280709.1
216643592	WP_123002100.1	carbapenem-hydrolyzing class A beta-lactamase GES-40	EJU9591726.1
243083012	WP_135350920.1	carbapenem-hydrolyzing class A beta-lactamase GES-41	WP_135350920.1
1995910	WP_012658785.1	carbapenem-hydrolyzing class A beta-lactamase GES-5	HBN7602500.1
1996201	WP_032490973.1	inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase GES-6	WP_032490973.1
1627813	WP_032490683.1	extended-spectrum class A beta-lactamase GES-7	HCF9525746.1
4253123	WP_063860520.1	extended-spectrum class A beta-lactamase GES-9	EKS9416691.1
2033458	WP_015588753.1	subclass B1 metallo-beta-lactamase GIM-1	WP_015588753.1
106702114	WP_079767532.1	subclass B1 metallo-beta-lactamase HMB-2	WP_079767532.1
1216972	WP_003159548.1	subclass B1 metallo-beta-lactamase IMP-1	HCF9478411.1
1071377	WP_063860573.1	subclass B1 metallo-beta-lactamase IMP-11	WP_063860573.1
1707491	WP_042862936.1	subclass B1 metallo-beta-lactamase IMP-13	EIU4300144.1
3493430	WP_039819893.1	subclass B1 metallo-beta-lactamase IMP-14	HCE3793617.1
3493429	WP_063860575.1	subclass B1 metallo-beta-lactamase IMP-15	WP_063860575.1
1833594	WP_063860576.1	subclass B1 metallo-beta-lactamase IMP-16	EIU5039357.1
4753054	WP_063848609.1	subclass B1 metallo-beta-lactamase IMP-18	EIU6971406.1
3569104	WP_032491874.1	subclass B1 metallo-beta-lactamase IMP-19	WP_032491874.1
3971952	WP_063860579.1	subclass B1 metallo-beta-lactamase IMP-20	HCC4500647.1
5062125	WP_060614779.1	subclass B1 metallo-beta-lactamase IMP-26	HBP6627341.1
21682643	WP_063860587.1	subclass B1 metallo-beta-lactamase IMP-29	HBO6185869.1
30499305	WP_031943232.1	subclass B1 metallo-beta-lactamase IMP-31	HCF0223250.1
29950300	WP_032492622.1	subclass B1 metallo-beta-lactamase IMP-34	WP_032492622.1
29784473	WP_063860593.1	subclass B1 metallo-beta-lactamase IMP-37	WP_063860593.1
637621	WP_015060105.1	subclass B1 metallo-beta-lactamase IMP-4	HBO2903127.1
34126223	WP_063860607.1	subclass B1 metallo-beta-lactamase IMP-44	HBO7621036.1
64958835	WP_063860609.1	subclass B1 metallo-beta-lactamase IMP-48	HCD9752533.1
77544923	WP_063860612.1	subclass B1 metallo-beta-lactamase IMP-51	HBO7395095.1
98189491	WP_063860615.1	subclass B1 metallo-beta-lactamase IMP-54	WP_063860615.1
99953773	WP_063860617.1	subclass B1 metallo-beta-lactamase IMP-56	EIU5428540.1
589885	WP_032492096.1	subclass B1 metallo-beta-lactamase IMP-6	WP_032492096.1
116820614	WP_069280710.1	subclass B1 metallo-beta-lactamase IMP-62	HCR1502152.1
118705332	WP_071593225.1	subclass B1 metallo-beta-lactamase IMP-63	WP_071593225.1
893426	WP_063860619.1	subclass B1 metallo-beta-lactamase IMP-7	HBN9184051.1
187237621	WP_109791207.1	subclass B1 metallo-beta-lactamase IMP-74	EIU5039359.1
187237623	WP_109791208.1	subclass B1 metallo-beta-lactamase IMP-75	EIU1678330.1
43977	WP_012695457.1	subclass B1 metallo-beta-lactamase IMP-8	HBO8053257.1
255707583	WP_148044415.1	subclass B1 metallo-beta-lactamase IMP-81	EKB9395998.1
265640560	WP_148044418.1	subclass B1 metallo-beta-lactamase IMP-84	EJA1606464.1
313395302	WP_219860708.1	subclass B1 metallo-beta-lactamase IMP-86	HCF1941826.1
313395303	WP_219860709.1	subclass B1 metallo-beta-lactamase IMP-87	WP_219860709.1
140746812	WP_079387329.1	subclass B1 metallo-beta-lactamase IMP-91	HCF6246012.1
516718797	WP_234855925.1	subclass B1 metallo-beta-lactamase IMP-93	WP_234855925.1
248678980	WP_137138291.1	class A beta-lactamase KBL-1	WP_137138291.1
521066148	WP_242934068.1	inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase KPC-113	WP_242934068.1
1051760	WP_004199234.1	carbapenem-hydrolyzing class A beta-lactamase KPC-2	WP_004199234.1
163850	WP_004152396.1	carbapenem-hydrolyzing class A beta-lactamase KPC-3	EKM6437863.1
132476220	WP_073668892.1	inhibitor-resistant extended-spectrum class A beta-lactamase KPC-31	WP_073668892.1
172095382	WP_101140102.1	inhibitor-resistant extended-spectrum class A beta-lactamase KPC-33	WP_101140102.1
14603389	WP_015062847.1	carbapenem-hydrolyzing class A beta-lactamase KPC-4	EIU4454225.1
14245114	WP_015256839.1	carbapenem-hydrolyzing class A beta-lactamase KPC-5	EKM5091371.1
