#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT001226108.1|SAMN24538646||Pseudomonas aeruginosa||1922170|Microbe	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR17656413	NULL	NULL	217869	6338420	97	NULL	Microbe	PRJNA288601	Centers for Disease Control and Prevention.  Division of Healthcare Quality Promotion	SAMN24538646	1922170,SRS11703962,whole organism	NULL	2018	clinical	NULL	USA	Homo sapiens	NULL	sputum	NULL	NULL	NULL	1922170	Pseudomonas aeruginosa	NULL	NULL	287	CDC	2022-01-18	1922170	NULL	NULL	PDT001226108.1	2022-01-18	287	NULL	NULL	NULL	NULL	NULL	0	0	0	0	9	6	NULL	aph(3')-IIb,blaOXA=PARTIAL,blaPDC,blaPDC-411,catB7,fosA,mexA,mexE,mexX	aph(3')-IIb,blaOXA=PARTIAL,blaPDC,blaPDC-411,catB7,fosA	0	NULL	0	NULL	3.10.18	2021-12-21.1	NUCLEOTIDE	1
PDT000797715.1|SAMN14453405|GCA_013620525.1|Pseudomonas aeruginosa||11112|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_013620525.1	Contig	245670	6492581	100	A5-miseq v. 20140401	Microbe	PRJNA615626	University of Oxford	SAMN14453405	11112	NULL	2004	clinical	20666338	United Kingdom	Homo sapiens	NULL	lung	NULL	NULL	NULL	11112	Pseudomonas aeruginosa	NULL	NULL	287	NULL	NULL	11112	NULL	NULL	PDT000797715.1	2020-07-24	287	JACEJG	JACEJG000000000.1	NULL	NULL	NULL	0	0	0	0	9	6	NULL	aph(3')-IIb,blaOXA-50,blaPDC-129,catB7,fosA,gyrA_T83I=POINT,mexA,mexE,mexX	aph(3')-IIb,blaOXA-50,blaPDC-129,catB7,fosA,gyrA_T83I=POINT	2	merA=HMM,merP=HMM	0	NULL	3.10.36	2022-08-09.1	COMBINED	1
PDT000767962.1|SAMEA5067511||Pseudomonas aeruginosa|||Generic	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	ERR2870070	NULL	NULL	145233	7220457	145	NULL	Generic	PRJEB29539	Institute of Medical Microbiology and Hygiene, University Tuebingen	SAMEA5067511	ERS2878713,VIMPA-29	NULL	2011	NULL	NULL	Germany	NULL	NULL	clinical and environmental	NULL	NULL	NULL	NULL	Pseudomonas aeruginosa	NULL	NULL	287	INSTITUTE OF MEDICAL MICROBIOLOGY AND HYGIENE, UNI	2019-01-24	NULL	NULL	NULL	PDT000767962.1	2020-06-17	287	NULL	NULL	NULL	NULL	NULL	0	0	0	0	21	18	NULL	aac(3)-Id,aac(6')-Il,aadA2,aph(3')-IIb,blaOXA-4,blaOXA-486,blaPDC-3,blaVIM-2,catB7,cmlA6,crpP,dfrB5,floR2,fosA,gyrA_T83I=POINT,mexA,mexE,mexX,parC_S87L=POINT,sul1,tet(G)	aac(3)-Id,aac(6')-Il,aadA2,aph(3')-IIb,blaOXA-4,blaOXA-486,blaPDC-3,blaVIM-2,catB7,cmlA6,crpP,dfrB5,floR2,fosA,gyrA_T83I=POINT,parC_S87L=POINT,sul1,tet(G)	8	merA,merD,merE,merP,merR,merT,qacE=PARTIAL_END_OF_CONTIG,qacEdelta1	0	NULL	3.10.18	2021-12-21.1	NUCLEOTIDE	1
PDT000460163.1|SAMN10822013|GCA_004123415.1|Pseudomonas aeruginosa||M59|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_004123415.1	Scaffold	128644	6458901	88	SPAdes v. 3.10.1	MIGS Cultured Bacterial/Archaeal	PRJNA517176	Universidad Nacional Autonoma de Mexico	SAMN10822013	M59	NULL	2011-10	NULL	8378888	Mexico: Cuatro Cienegas	NULL	NULL	surface water	26.8482750 N 102.1417472 W	NULL	NULL	M59	Pseudomonas aeruginosa	NULL	NULL	287	NULL	NULL	M59	NULL	NULL	PDT000460163.1	2019-01-31	287	SDVQ	SDVQ00000000.1	NULL	NULL	NULL	0	0	0	0	8	5	NULL	aph(3')-IIb,blaOXA-1032,blaPDC-19a,catB7,fosA,mexA,mexE,mexX	aph(3')-IIb,blaOXA-1032,blaPDC-19a,catB7,fosA	0	NULL	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000906906.1|SAMN10436273|GCA_015765345.1|Pseudomonas aeruginosa||PSA00461|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_015765345.1	Contig	133482	6836270	118	SPAdes v. 3.14.1	Pathogen: clinical or host-associated	PRJNA475751	University of Pittsburgh	SAMN10436273	PSA00461,SRS4051267	University of Pittsburgh Medical Center	2017	clinical	23575968	USA: Pittsburgh, Pennsylvania	Homo sapiens	not collected	wound	40.44 N 79.97 W	NULL	NULL	PSA00461	Pseudomonas aeruginosa	NULL	NULL	287	NULL	NULL	PSA00461	NULL	NULL	PDT000906906.1	2020-12-04	287	JADTAS	JADTAS000000000.1	NULL	NULL	NULL	0	0	0	0	9	6	NULL	aph(3')-IIb,blaOXA-494,blaPDC-15,catB7,crpP,fosA,mexA,mexE,mexX	aph(3')-IIb,blaOXA-494,blaPDC-15,catB7,crpP,fosA	7	hdeD-GI,kefB-GI,psi-GI,shsP,trxLHR,yfdX1,yfdX2=PARTIAL	0	NULL	3.10.18	2021-12-21.1	NUCLEOTIDE	1
PDT001567120.1|SAMN30438098|GCA_027570575.1|Pseudomonas aeruginosa||PALA13|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_027570575.1	Complete Genome	6879940	6879940	1	SPAdes v. 3.7; UniCycler v. 0.4.0	Pathogen: clinical or host-associated	PRJNA867205	Imperial College London	SAMN30438098	PALA13,Pseudomonas aeruginosa isolate PALA13	NULL	2019-08-07	clinical	39261048	United Kingdom: London	Homo sapiens	Cystic Fibrosis	sputum	51.48919532 N 0.17055858 W	NULL	NULL	Pseudomonas aeruginosa isolate PALA13	Pseudomonas aeruginosa	NULL	NULL	287	NULL	NULL	PALA13	NULL	NULL	PDT001567120.1	2023-01-05	287	NULL	NULL	NULL	NULL	NULL	0	0	0	0	9	6	NULL	aph(3')-IIb,blaOXA-50,blaPDC-8,catB7,crpP,fosA,mexA,mexE,mexX	aph(3')-IIb,blaOXA-50,blaPDC-8,catB7,crpP,fosA	10	clpK,hdeD-GI,kefB-GI,merA=HMM,merP=HMM,psi-GI,shsP,trxLHR,yfdX1,yfdX2	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000096523.1|SAMN04128745|GCA_001454365.1|Pseudomonas aeruginosa||WH-SGI-V-07313|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001454365.1	Scaffold	294545	6533690	89	SGI modified IDBA_UD v. 1.1.1	Microbe	PRJNA297679	Synthetic Genomics Vaccines, Inc.	SAMN04128745	SRS1167826,WH-SGI-V-07313	NULL	1998	NULL	2700518	Tunisia	NULL	NULL	sputum	NULL	NULL	NULL	WH-SGI-V-07313	Pseudomonas aeruginosa	NULL	NULL	287	NULL	NULL	WH-SGI-V-07313	NULL	NULL	PDT000096523.1	2015-11-30	287	LLVC	LLVC00000000.1	NULL	NULL	NULL	0	0	0	0	9	6	NULL	aph(3')-IIb,blaOXA-395,blaPDC-36,catB7,crpP=PARTIAL,fosA,mexA,mexE,mexX	aph(3')-IIb,blaOXA-395,blaPDC-36,catB7,crpP=PARTIAL,fosA	0	NULL	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000903899.1|SAMN10436158|GCA_015733265.1|Pseudomonas aeruginosa||PSA00333|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_015733265.1	Contig	299226	6318199	68	SPAdes v. 3.14.1	Pathogen: clinical or host-associated	PRJNA475751	University of Pittsburgh	SAMN10436158	PSA00333,SRS4051438	University of Pittsburgh Medical Center	2017	clinical	23518578	USA: Pittsburgh, Pennsylvania	Homo sapiens	not collected	urine	40.44 N 79.97 W	NULL	NULL	PSA00333	Pseudomonas aeruginosa	NULL	NULL	287	NULL	NULL	PSA00333	NULL	NULL	PDT000903899.1	2020-12-03	287	JADSMG	JADSMG000000000.1	NULL	NULL	NULL	0	0	0	0	8	5	NULL	aph(3')-IIb,blaOXA-486,blaPDC-3,catB7,fosA,mexA,mexE,mexX	aph(3')-IIb,blaOXA-486,blaPDC-3,catB7,fosA	0	NULL	0	NULL	3.10.18	2021-12-21.1	NUCLEOTIDE	1
PDT001476656.1|SAMN31609876|GCA_026046155.1|Pseudomonas aeruginosa||2022GN-00414|Microbe	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR22195281	GCA_026046155.1	Contig	164568	7103665	115	SKESA v. 2.2	Microbe	PRJNA288601	Centers for Disease Control and Prevention.  Division of Healthcare Quality Promotion	SAMN31609876	2022GN-00414,SRS15672830	NULL	2022	clinical	37224828	USA	Homo sapiens	NULL	Rectal Swab	NULL	NULL	NULL	2022GN-00414	Pseudomonas aeruginosa	NULL	NULL	287	WISCONSIN STATE LABORATORY OF HYGIENE	2022-11-04	2022GN-00414	NULL	NULL	PDT001476656.1	2022-11-04	287	ABJEJI	ABJEJI000000000.1	6	68	NULL	0	0	0	0	18	15	NULL	aac(3)-Id,aac(6')-Il,aph(3')-IIb,blaOXA-486,blaPDC-3,blaVIM-2,catB7,crpP,crpP=PARTIAL,crpP=PARTIAL_END_OF_CONTIG,dfrB5,fosA,gyrA_T83I=POINT,mexA,mexE,mexX,parC_S87L=POINT,sul1	aac(3)-Id,aac(6')-Il,aph(3')-IIb,blaOXA-486,blaPDC-3,blaVIM-2,catB7,crpP,crpP=PARTIAL,crpP=PARTIAL_END_OF_CONTIG,dfrB5,fosA,gyrA_T83I=POINT,parC_S87L=POINT,sul1	1	arsD=HMM	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT001681814.1|SAMN34105341|GCA_029617585.1|Pseudomonas aeruginosa|||Microbe	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR24100046	GCA_029617585.1	Contig	136048	7188478	162	SKESA v. 2.2	Microbe	PRJNA288601	Centers for Disease Control and Prevention.  Division of Healthcare Quality Promotion	SAMN34105341	2023BB-00030,SRS17253985	NULL	2023	clinical	41976708	USA	Homo sapiens	NULL	NULL	NULL	NULL	NULL	2023BB-00030	Pseudomonas aeruginosa	NULL	NULL	287	CALIFORNIA DEPARTMENT OF PUBLIC HEALTH	2023-04-06	NULL	NULL	NULL	PDT001681814.1	2023-04-06	287	ABLKDX	ABLKDX000000000.1	1	NULL	NULL	0	0	0	0	21	18	NULL	aac(6')-Ib,aac(6')-Il,aadA1,aph(3')-IIb,aph(3')-VIa,blaIMP-62,blaOXA-2,blaOXA-494,blaPDC-5,catA1,catB7,crpP,fosA,gyrA_T83I=POINT,mexA,mexE,mexX,mexZ_G195E=POINT,parC_S87L=POINT,qnrVC1,sul1	aac(6')-Ib,aac(6')-Il,aadA1,aph(3')-IIb,aph(3')-VIa,blaIMP-62,blaOXA-2,blaOXA-494,blaPDC-5,catA1,catB7,crpP,fosA,gyrA_T83I=POINT,mexZ_G195E=POINT,parC_S87L=POINT,qnrVC1,sul1	17	clpK,merA=HMM,merC,merC=HMM,merD,merD=HMM,merE,merE=HMM,merP,merP=HMM,merP=PARTIAL_END_OF_CONTIG,merR,merT,qacEdelta1,qacL,shsP,yfdX1	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
